Raw Input, Filtered Output
-0.728744, -0.802256
-0.905995, -0.856965
-0.773763, -0.846077
-0.909510, -0.889771
-0.755216, -0.856728
-0.940198, -0.907222
-0.818229, -0.890033
-0.977929, -0.945677
-0.961678, -0.973477
-0.942841, -0.990059
-0.914444, -0.979670
-0.944258, -0.985669
-0.805552, -0.930755
-0.961807, -0.953826
-0.709051, -0.873421
-0.688719, -0.808332
-0.951776, -0.865595
-0.686991, -0.817069
-0.819578, -0.828609
-0.878702, -0.864366
-0.774953, -0.853795
-0.895434, -0.882707
-0.765505, -0.858672
-0.792537, -0.847184
-0.685112, -0.793198
-0.646059, -0.743787
-0.759798, -0.752288
-0.736728, -0.759981
-0.686008, -0.746243
-0.830457, -0.793613
-0.811755, -0.822703
-0.693690, -0.792531
-0.714854, -0.773746
-0.863636, -0.821347
-0.581286, -0.744533
-0.748376, -0.752633
-0.782613, -0.775922
-0.679018, -0.757377
-0.706784, -0.746844
-0.725999, -0.753919
-0.605045, -0.708207
-0.606144, -0.673800
-0.657153, -0.673652
-0.699723, -0.695068
-0.559557, -0.656037
-0.660538, -0.668049
-0.685754, -0.687204
-0.511869, -0.633523
-0.651535, -0.645357
-0.513054, -0.604658
-0.702254, -0.650599
-0.442376, -0.580984
-0.428824, -0.528575
-0.492784, -0.510114
-0.564869, -0.538898
-0.449060, -0.512643
-0.479375, -0.510161
-0.370843, -0.463087
-0.537843, -0.495414
-0.523551, -0.515332
-0.565814, -0.552012
-0.420690, -0.515057
-0.295139, -0.436672
-0.365599, -0.401678
-0.376516, -0.389673
-0.276098, -0.347062
-0.221353, -0.297991
-0.274434, -0.287331
-0.378565, -0.324462
-0.359947, -0.348375
-0.440816, -0.398534
-0.432780, -0.428924
-0.424256, -0.442623
-0.265338, -0.382047
-0.309282, -0.353484
-0.170205, -0.277999
-0.122080, -0.209497
-0.201252, -0.195361
-0.198496, -0.196675
-0.300440, -0.240694
-0.251722, -0.256749
-0.148946, -0.225095
-0.001977, -0.135788
-0.250854, -0.170918
-0.223365, -0.192478
-0.159987, -0.188820
-0.004736, -0.119748
-0.019414, -0.076063
-0.159523, -0.097747
0.116542, -0.013596
0.103807, 0.042403
-0.091073, 0.001099
0.017451, 0.004098
0.117451, 0.050209
0.139143, 0.090466
-0.076365, 0.031879
0.110794, 0.061854
0.173832, 0.107285
0.191708, 0.150312
0.261065, 0.203966
0.028922, 0.151152
0.252000, 0.189552
0.315342, 0.243213
0.077551, 0.191968
0.145260, 0.171084
0.150256, 0.163325
0.337032, 0.232463
0.138248, 0.204863
